Dst Port,Flow Duration,Flow Pkts/s,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Subflow Fwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Label
445,230860,17.3265182362,68,32,12.9948886771,4.331629559,0,8192,8192,0,0
22,7,285714.285714286,32,32,142857.142857143,142857.142857143,0,241,230,0,2
443,6050223,3.6362296067,212,252,1.6528316394,1.9833979673,805,8192,66,3,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
53,401,4987.5311720698,8,8,2493.7655860349,2493.7655860349,44,-1,-1,0,0
22,7,285714.285714286,32,32,142857.142857143,142857.142857143,0,241,230,0,2
3389,2305971,6.938508767,188,148,3.9029111815,3.0355975856,1148,8192,62852,5,0
443,116834148,0.4964302046,592,724,0.2482151023,0.2482151023,3927,8192,1194,18,0
22,6,333333.333333333,32,32,166666.666666667,166666.666666667,0,241,230,0,2
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
53,909,2200.2200220022,8,8,1100.1100110011,1100.1100110011,51,-1,-1,0,0
22,7,285714.285714286,32,32,142857.142857143,142857.142857143,0,241,230,0,2
53,119705,33.415479721,16,16,16.7077398605,16.7077398605,72,-1,-1,1,0
3389,2508622,6.3780035414,192,152,3.587626992,2.7903765494,1148,8192,62852,5,0
3389,3022030,5.6253577893,172,192,2.647227195,2.9781305943,1128,8192,62872,5,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
53,287,6968.6411149826,8,8,3484.3205574913,3484.3205574913,41,-1,-1,0,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
21,3,666666.666666667,40,20,333333.333333333,333333.333333333,0,26883,0,0,1
22,4,500000.0,32,32,250000.0,250000.0,0,241,230,0,2
22,369770,118.9928874706,776,648,64.9052113476,54.087676123,1928,26883,230,16,2
53,84295,47.4523993119,16,16,23.726199656,23.726199656,90,-1,-1,1,0
443,67662304,0.3694819497,292,232,0.2069098918,0.1625720578,5826,8192,1026,8,0
80,72,27777.7777777778,40,0,27777.7777777778,0.0,0,278,-1,0,0
445,1327028,9.0427632273,152,112,5.2749452159,3.7678180114,364,8192,257,4,0
80,5806192,1.3778393825,92,92,0.6889196913,0.6889196913,97,8192,141,1,0
22,370446,118.7757459927,712,712,59.3878729963,59.3878729963,1944,26883,230,16,2
22,346240,127.0794824399,712,712,63.53974122,63.53974122,1944,26883,230,16,2
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
22,353442,121.6606968046,744,648,65.0743261978,56.5863706068,1928,26883,230,16,2
21,3,666666.666666667,40,20,333333.333333333,333333.333333333,0,26883,0,0,1
3389,2340756,6.4081860732,172,152,3.417699239,2.9904868342,1128,8192,62872,5,0
3389,2143608,6.9975480592,172,152,3.7320256316,3.2655224276,1144,8192,62856,5,0
8779,130,15384.6153846154,40,0,15384.6153846154,0.0,0,257,-1,0,0
27372,132,15151.5151515152,40,0,15151.5151515152,0.0,0,259,-1,0,0
51468,5078,590.783773139,40,20,393.8558487594,196.9279243797,38,31,0,0,0
443,209,9569.3779904306,40,0,9569.3779904306,0.0,0,1406,-1,0,0
53,1030,1941.7475728155,8,8,970.8737864078,970.8737864078,47,-1,-1,0,0
443,726,4132.2314049587,60,0,4132.2314049587,0.0,77,251,-1,1,0
445,193995,20.6190881208,72,32,15.4643160906,5.1547720302,0,8192,8192,0,0
3389,7262223,3.3047732079,212,316,1.3769888366,1.9277843713,1305,8192,62872,7,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
53,1006,1988.0715705765,8,8,994.0357852883,994.0357852883,27,-1,-1,0,0
3389,1184998,12.6582492122,172,152,6.7510662465,5.9071829657,1138,8192,62862,5,0
443,45068865,0.4659536023,212,280,0.2218826678,0.2440709346,1056,8192,33,7,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
3389,1674737,10.7479562463,212,172,5.9710868035,4.7768694428,1468,8192,64000,7,0
443,298,6711.4093959732,20,20,3355.7046979866,3355.7046979866,0,0,946,0,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
80,98,20408.1632653061,40,0,20408.1632653061,0.0,0,278,-1,0,0
22,342813,122.5157739059,712,648,64.1749291888,58.3408447171,1912,26883,230,16,2
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
80,54303281,0.0368301871,40,0,0.0368301871,0.0,0,279,-1,0,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
3062,41,48780.4878048781,40,0,48780.4878048781,0.0,0,258,-1,0,0
22,6,333333.333333333,32,32,166666.666666667,166666.666666667,0,241,230,0,2
22,5,400000.0,32,32,200000.0,200000.0,0,241,230,0,2
53,2955,676.8189509306,8,8,338.4094754653,338.4094754653,42,-1,-1,0,0
443,45613,350.7771907132,192,152,197.3121697762,153.465020937,553,8192,119,4,0
80,89,22471.9101123596,40,0,22471.9101123596,0.0,0,278,-1,0,0
443,72020,249.9305748403,212,172,138.8503193557,111.0802554846,508,8192,30,4,0
51740,16,125000.0,40,0,125000.0,0.0,0,5448,-1,0,0
80,54607424,0.0366250567,40,0,0.0366250567,0.0,0,279,-1,0,0
53,1469,1361.4703880191,8,8,680.7351940095,680.7351940095,51,-1,-1,0,0
80,115536665,0.2596578324,332,424,0.1384841773,0.1211736551,445,8192,172,12,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
443,218,13761.4678899083,60,0,13761.4678899083,0.0,77,254,-1,1,0
37269,130,15384.6153846154,52,0,15384.6153846154,0.0,0,259,-1,0,0
80,116164231,0.3012975655,384,484,0.1549530337,0.1463445318,875,8192,176,13,0
22,372138,120.9228834465,744,712,61.8050293171,59.1178541294,1928,26883,230,16,2
443,117142357,0.2219521671,272,272,0.1109760836,0.1109760836,627,8192,31,6,0
53,1089,1836.5472910928,8,8,918.2736455464,918.2736455464,31,-1,-1,0,0
51025,44,68181.8181818182,40,20,45454.5454545455,22727.2727272727,53,980,0,0,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
22,7,285714.285714286,32,32,142857.142857143,142857.142857143,0,241,230,0,2
445,155648,12.8495065789,52,0,12.8495065789,0.0,1,254,-1,0,0
80,116437055,0.3349449194,452,484,0.1889432879,0.1460016315,1755,8192,294,15,0
80,226,8849.5575221239,40,0,8849.5575221239,0.0,0,253,-1,0,0
53,292,6849.3150684932,8,8,3424.6575342466,3424.6575342466,50,-1,-1,0,0
443,62789115,0.5892741122,352,412,0.2707475651,0.3185265472,1062,8192,180,9,0
50666,99,40404.0404040404,60,20,30303.0303030303,10101.0101010101,31,64,0,1,0
22,375124,111.9629775754,712,648,58.6472739681,53.3157036073,1928,26883,230,16,2
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
22,361554,121.6968972823,712,712,60.8484486411,60.8484486411,1928,26883,230,16,2
22,389231,113.0434112391,712,712,56.5217056195,56.5217056195,1928,26883,230,16,2
22,7,285714.285714286,32,32,142857.142857143,142857.142857143,0,241,230,0,2
443,60845071,0.4601851808,292,284,0.2300925904,0.2300925904,870,8192,31088,9,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
80,77408,90.429929723,72,92,38.755684167,51.674245556,437,8192,31,1,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
53,330,6060.6060606061,8,8,3030.303030303,3030.303030303,37,-1,-1,0,0
22,7,285714.285714286,32,32,142857.142857143,142857.142857143,0,241,230,0,2
53,17999,111.1172842936,8,8,55.5586421468,55.5586421468,28,-1,-1,0,0
61457,36,55555.5555555556,40,0,55555.5555555556,0.0,0,260,-1,0,0
5355,418543,4.7784815419,16,0,4.7784815419,0.0,44,-1,-1,1,0
80,745,9395.9731543624,72,92,4026.8456375839,5369.1275167785,161,8192,149,1,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
80,87,22988.5057471264,40,0,22988.5057471264,0.0,0,279,-1,0,0
22,6,333333.333333333,32,32,166666.666666667,166666.666666667,0,241,230,0,2
22,308115,136.3127403729,712,648,71.4019116239,64.910828749,1928,26883,230,16,2
53,30385,131.6439032417,16,16,65.8219516209,65.8219516209,68,-1,-1,1,0
80,79,25316.4556962025,40,0,25316.4556962025,0.0,0,278,-1,0,0
50698,1,3000000.0,60,0,3000000.0,0.0,77,123,-1,1,0
443,205,14634.1463414634,60,0,14634.1463414634,0.0,77,256,-1,1,0
53,359,5571.0306406685,8,8,2785.5153203343,2785.5153203343,38,-1,-1,0,0
80,978,7157.4642126789,72,92,3067.4846625767,4089.9795501023,148,8192,149,1,0
443,116882768,0.3080009193,352,392,0.1454448786,0.1625560408,1252,8192,181,8,0
53,1950,1025.641025641,8,8,512.8205128205,512.8205128205,34,-1,-1,0,0
4262,81,24691.3580246914,40,0,24691.3580246914,0.0,0,64155,-1,0,0
22,353522,124.4618439588,712,712,62.2309219794,62.2309219794,1992,26883,230,16,2
443,18,111111.111111111,40,0,111111.111111111,0.0,53,256,-1,0,0
80,6252308,1.2795274961,92,92,0.639763748,0.639763748,97,8192,141,1,0
53,1375,1454.5454545455,8,8,727.2727272727,727.2727272727,30,-1,-1,0,0
22,353954,121.4847127028,744,648,64.9801951666,56.5045175362,1912,26883,230,16,2
53,10150,197.0443349754,8,8,98.5221674877,98.5221674877,37,-1,-1,0,0
53,401,4987.5311720698,8,8,2493.7655860349,2493.7655860349,43,-1,-1,0,0
443,7104,281.5315315315,20,20,140.7657657658,140.7657657658,0,0,290,0,0
53,2510,796.812749004,8,8,398.406374502,398.406374502,34,-1,-1,0,0
80,870,8045.9770114943,72,92,3448.275862069,4597.7011494253,148,8192,149,1,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
445,731167,15.0444426513,132,112,8.206059628,6.8383830233,455,8192,0,4,0
445,241097,16.5908327354,72,32,12.4431245515,4.1477081838,0,8192,8192,0,0
53,2136,936.329588015,8,8,468.1647940075,468.1647940075,36,-1,-1,0,0
443,10087195,1.586169396,152,192,0.6939491107,0.8922202852,867,8192,57,3,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
80,54376144,0.0367808354,40,0,0.0367808354,0.0,0,279,-1,0,0
53,1276,1567.3981191223,8,8,783.6990595611,783.6990595611,30,-1,-1,0,0
443,117693577,0.2803891329,332,352,0.1359462462,0.1444428866,1112,8192,180,8,0
80,54475121,0.0367140075,40,0,0.0367140075,0.0,0,279,-1,0,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
80,71,28169.014084507,40,0,28169.014084507,0.0,0,278,-1,0,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
53,238,8403.3613445378,8,8,4201.6806722689,4201.6806722689,40,-1,-1,0,0
80,54228508,0.0368809704,40,0,0.0368809704,0.0,0,279,-1,0,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
49836,21,95238.0952380952,20,20,47619.0476190476,47619.0476190476,0,115,255,0,0
22,6,333333.333333333,32,32,166666.666666667,166666.666666667,0,241,230,0,2
3389,1355924,11.0625669285,172,152,5.9000356952,5.1625312333,1138,8192,62862,5,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
443,558837,28.6308887923,192,152,16.1048749456,12.5260138466,512,8192,172,4,0
22,313567,140.3208883588,712,712,70.1604441794,70.1604441794,1928,26883,230,16,2
52613,45,44444.4444444444,20,20,22222.2222222222,22222.2222222222,0,120,251,0,0
22,6,333333.333333333,32,32,166666.666666667,166666.666666667,0,241,230,0,2
443,64,46875.0,20,40,15625.0,31250.0,0,0,0,0,0
53,73006,54.7900172589,16,16,27.3950086294,27.3950086294,90,-1,-1,1,0
53,247,8097.1659919028,8,8,4048.5829959514,4048.5829959514,22,-1,-1,0,0
3389,15747518,1.2700414122,272,152,0.825526918,0.4445144943,1128,8192,62872,5,0
53,2244,891.265597148,8,8,445.632798574,445.632798574,34,-1,-1,0,0
3389,6017315,2.8251803338,212,152,1.6618707846,1.1633095492,1138,8192,62862,5,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
53,1137,1759.0149516271,8,8,879.5074758135,879.5074758135,30,-1,-1,0,0
53,981,2038.7359836901,8,8,1019.3679918451,1019.3679918451,28,-1,-1,0,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
53,2738,730.4601899197,8,8,365.2300949598,365.2300949598,33,-1,-1,0,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
3389,6203185,3.0629426657,240,168,1.773282596,1.2896600698,1138,8192,62862,5,0
80,54618296,0.0366177663,40,0,0.0366177663,0.0,0,279,-1,0,0
22,7,285714.285714286,32,32,142857.142857143,142857.142857143,0,241,230,0,2
49751,23,86956.5217391304,20,20,43478.2608695652,43478.2608695652,0,114,253,0,0
22,5,400000.0,32,32,200000.0,200000.0,0,241,230,0,2
80,40024592,0.3747695917,152,208,0.1748924761,0.1998771155,434,8192,946,4,0
41230,89878697,0.022252214,40,0,0.022252214,0.0,0,63916,-1,0,0
22,410792,107.1101676761,776,648,58.4237278233,48.6864398528,2008,26883,230,16,2
53,52998,75.4745462093,16,16,37.7372731046,37.7372731046,100,-1,-1,1,0
445,1080096,10.1842799159,132,112,5.5550617723,4.6292181436,455,8192,0,4,0
21,21,95238.0952380952,40,20,47619.0476190476,47619.0476190476,0,26883,0,0,1
80,5290109,0.7561280873,72,32,0.5670960655,0.1890320218,0,8192,42780,0,0
53,503,3976.1431411531,8,8,1988.0715705765,1988.0715705765,39,-1,-1,0,0
22,372887,115.3164363467,744,648,61.6808845575,53.6355517891,1912,26883,230,16,2
50679,30,66666.6666666667,40,0,66666.6666666667,0.0,0,180,-1,0,0
443,118367447,0.2787928678,332,352,0.1351722995,0.1436205682,1253,8192,181,8,0
80,569,12302.2847100176,72,92,5272.4077328647,7029.8769771529,161,8192,149,1,0
22,378191,121.6316623082,776,712,63.459997726,58.1716645822,1912,26883,230,16,2
22,18,111111.111111111,32,32,55555.5555555556,55555.5555555556,0,241,230,0,2
445,1017139,10.8146477522,132,112,5.8988987739,4.9157489783,455,8192,0,4,0
80,96,20833.3333333333,40,0,20833.3333333333,0.0,0,279,-1,0,0
22,345249,124.5477901457,680,712,60.8256649549,63.7221251908,1944,26883,230,16,2
22,7,285714.285714286,32,32,142857.142857143,142857.142857143,0,241,230,0,2
80,449464,15.5741060463,72,92,6.674616877,8.8994891693,161,8192,149,1,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
22,6,333333.333333333,32,32,166666.666666667,166666.666666667,0,241,230,0,2
443,117049891,0.2050407719,252,252,0.1025203859,0.1025203859,591,8192,176,6,0
21,18,111111.111111111,40,20,55555.5555555556,55555.5555555556,0,26883,0,0,1
3389,1844206,8.1335816064,172,152,4.3379101901,3.7956714163,1138,8192,62862,5,0
443,115460697,0.3464382343,464,504,0.1905410289,0.1558972054,1908,8192,14311,15,0
3389,2472788,6.0660274961,168,148,3.2352146646,2.8308128315,1148,8192,62852,5,0
22,375997,117.0222102836,712,712,58.5111051418,58.5111051418,1928,26883,230,16,2
22,5,400000.0,32,32,200000.0,200000.0,0,241,230,0,2
21,3,666666.666666667,40,20,333333.333333333,333333.333333333,0,26883,0,0,1
53,54386,73.5483396462,16,16,36.7741698231,36.7741698231,146,-1,-1,1,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
50679,15,133333.333333333,20,20,66666.6666666667,66666.6666666667,0,123,252,0,0
53,384,5208.3333333333,8,8,2604.1666666667,2604.1666666667,77,-1,-1,0,0
3389,4787915,3.5506060571,212,152,2.0885917983,1.4620142588,1138,8192,62862,5,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
80,19287331,1.1924926264,232,264,0.5703225604,0.6221700659,1725,8192,1047,5,0
3389,1822586,8.2300643152,172,152,4.3893676348,3.8406966804,1138,8192,62862,5,0
80,5295995,1.5105754443,92,92,0.7552877221,0.7552877221,97,8192,141,1,0
22,5,400000.0,32,32,200000.0,200000.0,0,241,230,0,2
22,396942,110.8474285916,712,712,55.4237142958,55.4237142958,2008,26883,230,16,2
53,433,4618.9376443418,8,8,2309.4688221709,2309.4688221709,35,-1,-1,0,0
3389,2037776,7.3609660728,172,152,3.9258485722,3.4351175006,1138,8192,62862,5,0
53,156065,25.6303463301,16,16,12.815173165,12.815173165,90,-1,-1,1,0
80,54197084,0.0369023544,40,0,0.0369023544,0.0,0,279,-1,0,0
22,367041,122.6021071215,808,648,68.1122817342,54.4898253874,1928,26883,230,16,2
57783,34,58823.5294117647,40,0,58823.5294117647,0.0,0,64240,-1,0,0
53,122436,32.6701297004,16,16,16.3350648502,16.3350648502,80,-1,-1,1,0
443,115445843,0.3638069497,412,584,0.1732414046,0.1905655451,369,8192,1129,14,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
3389,3382387,4.4347379528,172,152,2.3651935748,2.069544378,1128,64240,62872,5,0
22,7,285714.285714286,32,32,142857.142857143,142857.142857143,0,241,230,0,2
3389,4125525,4.1206876701,212,152,2.4239339236,1.6967537465,1138,8192,62862,5,0
443,60142515,0.3990521514,272,292,0.2161532487,0.1828989027,646,8192,123,9,0
80,655,10687.0229007634,72,92,4580.1526717557,6106.8702290076,161,8192,149,1,0
53,11455,174.5962461807,8,8,87.2981230904,87.2981230904,31,-1,-1,0,0
3389,1445122,10.3797464851,172,152,5.535864792,4.843881693,1138,8192,62862,5,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
49831,64,46875.0,40,20,31250.0,15625.0,31,946,0,0,0
80,906189,7.7246578804,72,92,3.310567663,4.4140902174,664,8192,239,1,0
443,116238968,1.1183857035,832,1924,0.3527216449,0.7656640585,598,8192,1162,14,0
