Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,17,14/02/2018 10:27:33,945,1,1,41,102,41,41,41.0,0.0,102,102,102.0,0.0,151322.751322751,2116.4021164021,945.0,0.0,945,945,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1058.2010582011,1058.2010582011,41,102,61.3333333333,35.2183664206,1240.3333333333,0,0,0,0,0,0,0,0,1,92.0,41.0,102.0,0,0,0,0,0,0,1,41,1,102,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,14/02/2018 11:28:19,102556893,17,17,1225,3774,677,0,72.0588235294,181.2868826571,1460,0,222.0,487.8115671035,48.7436763514,0.3315233039,3107784.63636364,4620043.86152348,10010271,1,92466378,5779148.625,5055867.27921543,10109156,317,102458096,6403631.0,4934334.43699368,10114492,1,0,0,0,0,352,348,0.1657616519,0.1657616519,0,1460,142.8285714286,365.6300352666,133685.322689076,0,0,0,1,0,0,0,0,1,147.0294117647,72.0588235294,222.0,0,0,0,0,0,0,17,1225,17,3774,8192,0,12,20,253091.8,487488.369206168,1640508,98837,10002597.5,18394.8401596751,10010271,9952927,Benign
0,0,14/02/2018 12:01:32,104,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19230.7692307692,104.0,0.0,104,104,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,9615.3846153846,9615.3846153846,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,14/02/2018 09:53:47,1464488,9,7,1132,1581,661,0,125.7777777778,213.6736868322,1173,0,225.8571428571,430.0986044197,1852.5245683133,10.9253199753,97632.5333333333,243403.369544075,968815,2,1464488,183061.0,360980.490496568,1073044,2,1398425,233070.833333333,360971.115285097,968815,65982,0,0,0,0,192,152,6.1454924861,4.7798274892,0,1173,159.5882352941,310.4088148764,96353.6323529412,0,0,1,1,0,0,0,1,0,169.5625,125.7777777778,225.8571428571,0,0,0,0,0,0,9,1132,7,1581,8192,62868,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,14/02/2018 01:59:31,259,1,1,44,60,44,44,44.0,0.0,60,60,60.0,0.0,401544.401544402,7722.0077220077,259.0,0.0,259,259,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3861.0038610039,3861.0038610039,44,60,49.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,74.0,44.0,60.0,0,0,0,0,0,0,1,44,1,60,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,14/02/2018 09:37:35,1222,1,1,33,85,33,33,33.0,0.0,85,85,85.0,0.0,96563.0114566285,1636.6612111293,1222.0,0.0,1222,1222,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,818.3306055646,818.3306055646,33,85,50.3333333333,30.0222139979,901.3333333333,0,0,0,0,0,0,0,0,1,75.5,33.0,85.0,0,0,0,0,0,0,1,33,1,85,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
21,6,14/02/2018 10:50:58,20,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,100000.0,20.0,0.0,20,20,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,50000.0,50000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
445,6,14/02/2018 03:24:52,851749,6,5,455,338,140,0,75.8333333333,62.9362110924,145,0,67.6,69.7588704037,931.0254546821,12.9146027762,85174.9,109568.08411663,215304,69,851678,170335.6,94448.3835372528,215389,1421,851680,212920.0,2089.6588238275,215416,210551,0,0,0,0,132,112,7.044328787,5.8702739892,0,145,66.0833333333,63.40269328,4019.9015151515,0,0,0,1,0,0,0,0,0,72.0909090909,75.8333333333,67.6,0,0,0,0,0,0,6,455,5,338,8192,0,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
445,6,14/02/2018 03:42:15,790461,2,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5.0603382077,263487.0,456339.962168557,790423,19,790442,790442.0,0.0,790442,790442,790442,790442.0,0.0,790442,790442,0,0,0,0,64,40,2.5301691039,2.5301691039,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,14/02/2018 09:41:24,1692872,8,7,1128,1581,661,0,141.0,222.62332056,1173,0,225.8571428571,430.0986044197,1600.2391202643,8.860681729,120919.428571429,245454.730107427,953188,93,1692872,241838.857142857,390699.679898951,1122552,176,1584478,264079.666666667,338301.928836161,953188,110570,0,0,0,0,172,152,4.7256969222,4.1349848069,0,1173,169.3125,317.7312740352,100953.1625,0,0,1,1,0,0,0,1,0,180.6,141.0,225.8571428571,0,0,0,0,0,0,8,1128,7,1581,8192,62872,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 12:19:50,899,3,4,148,243,148,0,49.3333333333,85.4478398401,243,0,60.75,121.5,434927.697441602,7786.4293659622,149.8333333333,92.6615706033,284,28,519,259.5,120.9152595829,345,174,615,205.0,186.6520827636,400,28,0,0,0,0,72,92,3337.0411568409,4449.3882091213,0,243,48.875,93.9930658537,8834.6964285714,0,0,0,1,0,0,0,0,1,55.8571428571,49.3333333333,60.75,0,0,0,0,0,0,3,148,4,243,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,14/02/2018 01:40:44,298,1,1,51,179,51,51,51.0,0.0,179,179,179.0,0.0,771812.080536913,6711.4093959732,298.0,0.0,298,298,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3355.7046979866,3355.7046979866,51,179,93.6666666667,73.9008344563,5461.3333333333,0,0,0,0,0,0,0,0,1,140.5,51.0,179.0,0,0,0,0,0,0,1,51,1,179,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
22,6,14/02/2018 02:14:13,7,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,285714.285714286,7.0,0.0,7,7,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,142857.142857143,142857.142857143,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,241,230,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce
80,6,14/02/2018 10:20:06,66,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,30303.0303030303,66.0,0.0,66,66,66,66.0,0.0,66,66,0,0.0,0.0,0,0,0,0,0,0,40,0,30303.0303030303,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
50221,6,14/02/2018 10:47:52,49,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40816.3265306122,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20408.1632653061,20408.1632653061,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,172,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
22,6,14/02/2018 02:12:18,5,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,400000.0,5.0,0.0,5,5,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,200000.0,200000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,241,230,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce
53,17,14/02/2018 12:01:32,1080,1,1,46,127,46,46,46.0,0.0,127,127,127.0,0.0,160185.185185185,1851.8518518519,1080.0,0.0,1080,1080,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,925.9259259259,925.9259259259,46,127,73.0,46.7653718044,2187.0,0,0,0,0,0,0,0,0,1,109.5,46.0,127.0,0,0,0,0,0,0,1,46,1,127,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,14/02/2018 10:54:03,114966809,22,20,1735,5741,761,0,78.8636363636,207.3732074935,1460,0,287.05,508.4617125781,65.0274637091,0.3653228298,2804068.51219512,4441474.59130171,10001652,10,114939465,5473307.85714286,4938765.77040381,10029650,189,114939627,6049454.05263158,4860910.95155906,10050820,17,0,0,0,0,452,544,0.1913595775,0.1739632523,0,1460,173.8604651163,387.3048252804,150005.027685493,0,0,0,1,0,0,0,0,0,178.0,78.8636363636,287.05,0,0,0,0,0,0,22,1735,20,5741,8192,1034,15,20,457553.181818182,1426788.7243257,4759483,27233,9991489.09090909,30138.611462556,10001652,9900639,Benign
22,6,14/02/2018 03:24:27,309751,21,22,1944,2665,640,0,92.5714285714,139.8186580641,976,0,121.1363636364,258.6415602914,14879.6936894473,138.8211821754,7375.0238095238,13909.8546212671,45987,3,309707,15485.35,18299.7176603903,47585,319,309740,14749.5238095238,29144.3442414117,129766,7,0,0,0,0,680,712,67.7963912949,71.0247908804,0,976,104.75,205.4934079178,42227.5406976744,0,0,0,1,0,0,0,0,1,107.1860465116,92.5714285714,121.1363636364,0,0,0,0,0,0,21,1944,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce
445,6,14/02/2018 09:06:41,292064,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,13.6956283554,97354.6666666667,168570.404052234,292003,1,292064,146032.0,206519.020726905,292063,1,0,0.0,0.0,0,0,0,0,0,0,68,28,10.2717212666,3.4239070889,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,14/02/2018 02:14:29,2771,1,1,51,161,51,51,51.0,0.0,161,161,161.0,0.0,76506.676290148,721.7610970769,2771.0,0.0,2771,2771,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,360.8805485384,360.8805485384,51,161,87.6666666667,63.5085296109,4033.3333333333,0,0,0,0,0,0,0,0,1,131.5,51.0,161.0,0,0,0,0,0,0,1,51,1,161,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
21,6,14/02/2018 10:34:26,18,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,111111.111111111,18.0,0.0,18,18,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,55555.5555555556,55555.5555555556,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
53,17,14/02/2018 02:07:44,1456,1,1,42,144,42,42,42.0,0.0,144,144,144.0,0.0,127747.252747253,1373.6263736264,1456.0,0.0,1456,1456,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,686.8131868132,686.8131868132,42,144,76.0,58.8897274573,3468.0,0,0,0,0,0,0,0,0,1,114.0,42.0,144.0,0,0,0,0,0,0,1,42,1,144,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,14/02/2018 11:47:08,24267567,11,11,858,7459,541,0,78.0,166.5400852648,1460,0,678.0909090909,666.473323479,342.7208009769,0.9065597717,1155598.42857143,3079296.57907581,10009546,1,24267567,2426756.7,4205018.6133026,10015345,1860,20080477,2008047.7,4221906.86020921,10021800,1,0,0,0,0,232,224,0.4532798859,0.4532798859,0,1460,361.6086956522,557.450669577,310751.249011858,0,0,0,1,0,0,0,0,1,378.0454545455,78.0,678.0909090909,0,0,0,0,0,0,11,858,11,7459,8192,30837,5,20,33867.5,30607.1170236597,55510,12225,10006333.0,4543.8681759048,10009546,10003120,Benign
80,6,14/02/2018 01:54:52,117485023,22,17,2227,1000,577,0,101.2272727273,218.6928552447,250,0,58.8235294118,109.3093290244,27.4673308784,0.3319572062,3091711.13157895,4524633.3432678,10015142,57,117485023,5594524.90476191,4881848.5669681,10078012,331,113140450,7071278.125,4610294.29052638,10078024,35169,0,0,0,0,452,484,0.1872579112,0.144699295,0,577,80.675,176.8276558454,31268.0198717949,0,0,0,1,0,0,0,0,0,82.7435897436,101.2272727273,58.8235294118,0,0,0,0,0,0,22,2227,17,1000,8192,186,15,20,281405.363636364,724743.424134952,2466589,62825,10004081.6363636,31333.6999930513,10015142,9910433,Benign
443,6,14/02/2018 01:41:04,159,3,0,31,0,31,0,10.3333333333,17.8978583449,0,0,0.0,0.0,194968.55345912,18867.9245283019,79.5,81.3172798365,137,22,159,79.5,81.3172798365,137,22,0,0.0,0.0,0,0,0,0,0,0,60,0,18867.9245283019,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.3333333333,10.3333333333,0.0,0,0,0,0,0,0,3,31,0,0,258,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 12:10:23,53883026,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0371174403,53883026.0,0.0,53883026,53883026,53883026,53883026.0,0.0,53883026,53883026,0,0.0,0.0,0,0,0,0,0,0,40,0,0.0371174403,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
21,6,14/02/2018 11:06:41,1,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
22,6,14/02/2018 02:40:00,6,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,333333.333333333,6.0,0.0,6,6,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,166666.666666667,166666.666666667,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,241,230,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce
53,17,14/02/2018 12:47:14,265,1,1,35,51,35,35,35.0,0.0,51,51,51.0,0.0,324528.301886792,7547.1698113208,265.0,0.0,265,265,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3773.5849056604,3773.5849056604,35,51,40.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,60.5,35.0,51.0,0,0,0,0,0,0,1,35,1,51,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,14/02/2018 11:29:59,327,1,1,44,60,44,44,44.0,0.0,60,60,60.0,0.0,318042.813455658,6116.2079510703,327.0,0.0,327,327,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3058.1039755352,3058.1039755352,44,60,49.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,74.0,44.0,60.0,0,0,0,0,0,0,1,44,1,60,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
21,6,14/02/2018 10:52:50,2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
22,6,14/02/2018 02:39:53,396026,24,20,1960,2665,640,0,81.6666666667,134.1973454888,976,0,133.25,268.7712537496,11678.5261573735,111.1038164161,9209.9069767442,25190.4334551394,151888,2,395983,17216.652173913,32970.4257184425,151888,243,396005,20842.3684210526,46521.0184518909,189623,8,0,0,0,0,776,648,60.6020816815,50.5017347346,0,976,102.7777777778,203.7465994015,41512.6767676768,0,0,0,1,0,0,0,0,0,105.1136363636,81.6666666667,133.25,0,0,0,0,0,0,24,1960,20,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce
22,6,14/02/2018 03:03:35,6,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,333333.333333333,6.0,0.0,6,6,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,166666.666666667,166666.666666667,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,241,230,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce
22,6,14/02/2018 02:10:54,7,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,285714.285714286,7.0,0.0,7,7,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,142857.142857143,142857.142857143,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,241,230,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce
445,6,14/02/2018 09:00:13,882680,7,5,364,582,103,0,52.0,49.2172056636,409,0,116.4,167.0353256051,1071.7360764943,13.5949608012,80243.6363636364,91633.5544211538,181036,3,882680,147113.333333333,72232.821048791,183845,3,709016,177254.0,6000.4873690948,183554,171743,0,0,0,0,152,112,7.9303938007,5.6645670005,0,409,72.7692307692,109.5332170669,11997.5256410256,0,0,0,1,0,0,0,0,0,78.8333333333,52.0,116.4,0,0,0,0,0,0,7,364,5,582,8192,258,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,14/02/2018 08:29:11,1091,1,1,44,72,44,44,44.0,0.0,72,72,72.0,0.0,106324.472960587,1833.180568286,1091.0,0.0,1091,1091,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,916.590284143,916.590284143,44,72,53.3333333333,16.1658075373,261.3333333333,0,0,0,0,0,0,0,0,1,80.0,44.0,72.0,0,0,0,0,0,0,1,44,1,72,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
