Dst Port,Flow Duration,Flow Pkts/s,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,PSH Flag Cnt,Init Fwd Win Byts,Fwd Act Data Pkts
443,117118458,0.0,292,292,0.0,0.0,1,8192,8
80,256,7812.0,40,0,7812.0,0.0,0,253,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
21,20,100000.0,40,20,50000.0,50000.0,1,26883,0
51998,43,46511.0,20,20,23255.0,23255.0,0,119,0
21,12,166666.0,40,20,83333.0,83333.0,1,26883,0
80,115481672,0.0,352,444,0.0,0.0,1,8192,13
80,53672871,0.0,40,0,0.0,0.0,0,279,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
80,94,21276.0,40,0,21276.0,0.0,0,278,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
53,1148,1742.0,8,8,871.0,871.0,0,-1,0
53,61394,32.0,8,8,16.0,16.0,0,-1,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
35260,126,15873.0,40,0,15873.0,0.0,0,255,0
22,318560,138.0,712,712,69.0,69.0,1,26883,16
22,382776,114.0,712,712,57.0,57.0,1,26883,16
22,387071,111.0,744,648,59.0,51.0,1,26883,16
22,365635,114.0,712,648,60.0,54.0,1,26883,16
443,4028476,0.0,60,32,0.0,0.0,0,251,1
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
443,307,9771.0,60,0,9771.0,0.0,0,255,1
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
22,338177,130.0,712,712,65.0,65.0,1,26883,16
22,374589,117.0,712,712,58.0,58.0,1,26883,16
443,60562024,0.0,292,344,0.0,0.0,1,8192,10
80,89,22471.0,40,0,22471.0,0.0,0,278,0
80,124,16129.0,40,0,16129.0,0.0,0,279,0
443,117525515,0.0,272,252,0.0,0.0,1,8192,6
445,183769,21.0,68,28,16.0,5.0,1,8192,0
53,296,6756.0,8,8,3378.0,3378.0,0,-1,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
53,37220,53.0,8,8,26.0,26.0,0,-1,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
22,369743,113.0,712,648,59.0,54.0,1,26883,16
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
22,359846,122.0,712,712,61.0,61.0,1,26883,16
22,17,117647.0,32,32,58823.0,58823.0,0,241,0
443,118469363,0.0,332,332,0.0,0.0,1,8192,8
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
53,716,2793.0,8,8,1396.0,1396.0,0,-1,0
3389,8773492,1.0,212,152,1.0,0.0,1,8192,5
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
443,3147363,12.0,192,592,2.0,9.0,1,8192,4
443,913,3285.0,60,0,3285.0,0.0,0,256,1
22,377330,116.0,776,648,63.0,53.0,1,26883,16
3389,2409418,6.0,172,152,3.0,2.0,1,8192,5
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
3389,5887260,3.0,232,152,1.0,1.0,1,8192,5
22,5,400000.0,32,32,200000.0,200000.0,0,241,0
3389,2137156,7.0,172,152,3.0,3.0,1,8192,5
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
22,382747,114.0,712,712,57.0,57.0,1,26883,16
22,315661,139.0,712,712,69.0,69.0,1,26883,16
22,370362,118.0,712,712,59.0,59.0,1,26883,16
3389,5272085,4.0,244,268,2.0,2.0,1,8192,7
443,745871,20.0,172,152,10.0,9.0,1,8192,3
53,1230,1626.0,8,8,813.0,813.0,0,-1,0
21,3,666666.0,40,20,333333.0,333333.0,1,26883,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
22,343042,128.0,712,712,64.0,64.0,1,26883,16
22,390441,112.0,712,712,56.0,56.0,1,26883,16
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
53,290,6896.0,8,8,3448.0,3448.0,0,-1,0
80,83,24096.0,40,0,24096.0,0.0,0,278,0
53,537,3724.0,8,8,1862.0,1862.0,0,-1,0
3389,2129863,7.0,172,152,3.0,3.0,1,8192,5
22,5,400000.0,32,32,200000.0,200000.0,0,241,0
49990,48,41666.0,20,20,20833.0,20833.0,0,513,0
53,466,4291.0,8,8,2145.0,2145.0,0,-1,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
51346,37,54054.0,20,20,27027.0,27027.0,0,288,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
80,158,12658.0,40,0,12658.0,0.0,0,64240,0
443,463,6479.0,60,0,6479.0,0.0,0,258,1
3389,1761338,9.0,192,152,5.0,3.0,1,8192,6
3389,3083448,6.0,192,224,2.0,3.0,1,8192,6
53,564,3546.0,8,8,1773.0,1773.0,0,-1,0
80,53695156,0.0,40,0,0.0,0.0,0,279,0
53,994,2012.0,8,8,1006.0,1006.0,0,-1,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
3389,2233544,7.0,192,152,4.0,3.0,1,8192,5
3389,6273038,2.0,192,152,1.0,1.0,1,8192,5
53,1002,1996.0,8,8,998.0,998.0,0,-1,0
80,5406846,1.0,92,92,0.0,0.0,1,8192,1
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
53,1152,1736.0,8,8,868.0,868.0,0,-1,0
443,5960323,3.0,212,212,1.0,1.0,1,8192,3
445,692222,15.0,132,112,8.0,7.0,1,8192,4
80,54509454,0.0,40,0,0.0,0.0,0,279,0
22,382285,109.0,712,648,57.0,52.0,1,26883,16
53,885,2259.0,8,8,1129.0,1129.0,0,-1,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
443,115267031,0.0,412,504,0.0,0.0,1,8192,15
51100,65,30769.0,40,0,30769.0,0.0,0,123,0
22,313366,137.0,680,712,67.0,70.0,1,26883,16
80,5806333,1.0,92,92,0.0,0.0,1,8192,1
80,54513594,0.0,40,0,0.0,0.0,0,279,0
443,61159606,0.0,292,364,0.0,0.0,1,8192,9
3389,1754523,8.0,172,152,4.0,3.0,1,8192,5
80,890,7865.0,72,92,3370.0,4494.0,1,8192,1
53,66271,60.0,16,16,30.0,30.0,0,-1,1
22,400019,112.0,744,712,57.0,54.0,1,26883,16
22,378184,111.0,712,648,58.0,52.0,1,26883,16
64131,140,14285.0,40,0,14285.0,0.0,0,259,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
50894,16,125000.0,40,0,125000.0,0.0,0,0,0
22,398746,105.0,712,648,55.0,50.0,1,26883,16
80,87,22988.0,40,0,22988.0,0.0,0,279,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
22,5,400000.0,32,32,200000.0,200000.0,0,241,0
3389,2272828,6.0,172,152,3.0,3.0,1,64240,5
50062,30464098,0.0,40,0,0.0,0.0,0,60,0
21,4,500000.0,40,20,250000.0,250000.0,1,26883,0
80,2359,2967.0,72,92,1271.0,1695.0,1,8192,1
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
50429,272,11029.0,40,20,7352.0,3676.0,0,176,0
80,6960,1005.0,72,92,431.0,574.0,1,8192,1
80,573,12216.0,72,92,5235.0,6980.0,1,8192,1
80,121,16528.0,40,0,16528.0,0.0,0,256,0
3389,1462031,10.0,172,152,5.0,4.0,1,8192,5
443,15625699,1.0,212,284,0.0,0.0,1,8192,5
445,1095055,10.0,132,112,5.0,4.0,1,8192,4
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
445,103535,106.0,132,112,57.0,48.0,1,8192,4
22,5,400000.0,32,32,200000.0,200000.0,0,241,0
53,25289,79.0,8,8,39.0,39.0,0,-1,0
22,366743,117.0,680,712,57.0,59.0,1,26883,16
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
80,10066536,0.0,92,92,0.0,0.0,1,8192,1
22,387815,121.0,808,712,64.0,56.0,1,26883,16
49968,459,6535.0,60,0,6535.0,0.0,0,1000,1
443,673,4457.0,60,0,4457.0,0.0,0,258,1
22,371196,113.0,712,648,59.0,53.0,1,26883,16
80,291899,23.0,72,88,10.0,13.0,1,8192,1
62367,39,51282.0,40,0,51282.0,0.0,0,258,0
443,5897475,2.0,192,152,1.0,1.0,1,8192,3
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
80,82,24390.0,40,0,24390.0,0.0,0,278,0
53,1621,1233.0,8,8,616.0,616.0,0,-1,0
80,502,13944.0,72,92,5976.0,7968.0,1,8192,1
80,115443388,0.0,332,424,0.0,0.0,1,8192,12
53,209,9569.0,8,8,4784.0,4784.0,0,-1,0
53,14503,137.0,8,8,68.0,68.0,0,-1,0
22,380430,115.0,712,712,57.0,57.0,1,26883,16
53,359,5571.0,8,8,2785.0,2785.0,0,-1,0
54629,121,16528.0,40,0,16528.0,0.0,0,255,0
443,30986155,0.0,312,276,0.0,0.0,1,8192,8
53,280,7142.0,8,8,3571.0,3571.0,0,-1,0
22,343409,125.0,712,680,64.0,61.0,1,26883,16
54419,42,47619.0,40,0,47619.0,0.0,0,256,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
5355,453084,4.0,16,0,4.0,0.0,0,-1,1
3389,1672356,8.0,168,148,4.0,4.0,1,8192,5
22,5,400000.0,32,32,200000.0,200000.0,0,241,0
80,5412664,1.0,92,92,0.0,0.0,1,8192,1
53,2306,867.0,8,8,433.0,433.0,0,-1,0
53,12640,158.0,8,8,79.0,79.0,0,-1,0
80,53911962,0.0,40,0,0.0,0.0,0,279,0
80,84,23809.0,40,0,23809.0,0.0,0,278,0
445,784776,14.0,132,112,7.0,6.0,1,8192,4
53,22637,176.0,16,16,88.0,88.0,0,-1,1
49978,55,36363.0,20,20,18181.0,18181.0,0,172,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
3389,3057066,5.0,192,152,2.0,2.0,1,8192,5
53,67661,59.0,16,16,29.0,29.0,0,-1,1
53,53840,74.0,16,16,37.0,37.0,0,-1,1
22,367351,119.0,712,712,59.0,59.0,1,26883,16
4531,102,19607.0,40,0,19607.0,0.0,0,258,0
53,763,2621.0,8,8,1310.0,1310.0,0,-1,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
3389,14643380,1.0,212,152,0.0,0.0,1,8192,5
59206,40,50000.0,40,0,50000.0,0.0,0,260,0
22,5,400000.0,32,32,200000.0,200000.0,0,241,0
22,328534,133.0,712,712,66.0,66.0,1,26883,16
51921,17,117647.0,20,20,58823.0,58823.0,0,172,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
53,1599,1250.0,8,8,625.0,625.0,0,-1,0
53,271,7380.0,8,8,3690.0,3690.0,0,-1,0
22,371023,118.0,776,648,64.0,53.0,1,26883,16
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
443,30,66666.0,20,20,33333.0,33333.0,0,64059,0
443,309,9708.0,60,0,9708.0,0.0,0,258,1
80,817,8567.0,72,92,3671.0,4895.0,1,8192,1
21,17,117647.0,40,20,58823.0,58823.0,1,26883,0
445,116035072,0.0,72,0,0.0,0.0,0,255,0
22,4,500000.0,32,32,250000.0,250000.0,0,241,0
53,1100,1818.0,8,8,909.0,909.0,0,-1,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
53,577,3466.0,8,8,1733.0,1733.0,0,-1,0
53,340,5882.0,8,8,2941.0,2941.0,0,-1,0
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
53,43632,91.0,16,16,45.0,45.0,0,-1,1
49908,1,2000000.0,40,0,2000000.0,0.0,0,176,0
445,216210,18.0,68,28,13.0,4.0,1,8192,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
53,55066,36.0,8,8,18.0,18.0,0,-1,0
80,988,7085.0,72,92,3036.0,4048.0,1,8192,1
3389,3178561,5.0,252,152,3.0,2.0,1,8192,5
80,1035,6763.0,72,92,2898.0,3864.0,1,8192,1
3389,2241290,6.0,172,152,3.0,3.0,1,8192,5
445,221047,18.0,72,32,13.0,4.0,1,8192,0
53,44384,90.0,16,16,45.0,45.0,0,-1,1
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
53,34975,114.0,16,16,57.0,57.0,0,-1,1
445,211640,18.0,72,32,14.0,4.0,1,8192,0
80,79,25316.0,40,0,25316.0,0.0,0,278,0
21,3,666666.0,40,20,333333.0,333333.0,1,26883,0
53,2182,916.0,8,8,458.0,458.0,0,-1,0
53,865,2312.0,8,8,1156.0,1156.0,0,-1,0
53,278,7194.0,8,8,3597.0,3597.0,0,-1,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
3389,7385892,3.0,212,316,1.0,1.0,1,8192,7
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
53,759,2635.0,8,8,1317.0,1317.0,0,-1,0
80,6010250,1.0,92,92,0.0,0.0,1,8192,1
53,40606,98.0,16,16,49.0,49.0,0,-1,1
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
22,5,400000.0,32,32,200000.0,200000.0,0,241,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
3389,3810027,3.0,172,152,2.0,1.0,1,8192,5
3389,1312949,11.0,172,152,6.0,5.0,1,8192,5
445,345749,34.0,152,112,20.0,14.0,1,8192,4
52455,133,30075.0,60,20,22556.0,7518.0,0,980,1
53,1012,1976.0,8,8,988.0,988.0,0,-1,0
22,369998,124.0,776,712,64.0,59.0,1,26883,16
50528,32,93750.0,40,20,62500.0,31250.0,0,290,0
50644,4,750000.0,60,0,750000.0,0.0,0,64,1
445,1053591,10.0,132,112,5.0,4.0,1,8192,4
60416,189,10582.0,40,0,10582.0,0.0,0,256,0
53,368,5434.0,8,8,2717.0,2717.0,0,-1,0
80,116403180,0.0,404,484,0.0,0.0,1,8192,13
445,526007,22.0,152,112,13.0,9.0,1,8192,4
443,13412769,1.0,212,188,0.0,0.0,1,8192,4
53,183253,21.0,16,16,10.0,10.0,0,-1,1
22,5,400000.0,32,32,200000.0,200000.0,0,241,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
443,119378557,0.0,412,412,0.0,0.0,1,8192,11
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
3389,2669871,6.0,224,172,3.0,2.0,1,8192,5
54831,264,7575.0,40,0,7575.0,0.0,0,255,0
22,370614,124.0,776,712,64.0,59.0,1,26883,16
53,329,6079.0,8,8,3039.0,3039.0,0,-1,0
80,5720251,0.0,72,32,0.0,0.0,1,8192,0
443,14310327,69.0,6872,13072,23.0,45.0,1,8192,19
22,377997,116.0,776,648,63.0,52.0,1,26883,16
445,160,18750.0,20,40,6250.0,12500.0,0,65520,0
3389,2324156,6.0,172,152,3.0,3.0,1,64240,5
3389,1270263,11.0,172,152,6.0,5.0,1,8192,5
22,385470,114.0,712,712,57.0,57.0,1,26883,16
80,127,15748.0,40,0,15748.0,0.0,0,278,0
49483,22,90909.0,20,20,45454.0,45454.0,0,172,0
53,1545,1294.0,8,8,647.0,647.0,0,-1,0
53,1590,1257.0,8,8,628.0,628.0,0,-1,0
53,18143,110.0,8,8,55.0,55.0,0,-1,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
3389,1669788,8.0,172,152,4.0,4.0,1,8192,5
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
